Salome Gluecksohn-Waelsch
Sameera Moussa
Sandra Faber
Sandra Steingraber
Sandy Carter
Sara Billey
Sara Hestrin-Lerner
Sara Plummer Lemmon
Sara Shettleworth
Sarah Allen (software developer)
Sarah Flannery
Sarah Frances Whiting
Sarit Kraus
Seema Bhatnagar
Shafi Goldwasser
Sheeri Cabral
Sheila Greibach
Sheina Marshall
Sheri McCoy
Sherry Gong
Shirley Ann Jackson
Shirley M. Tilghman
Shirley Sherwood
Shoshana Kamin
Sophia Brahe
Sophia Drossopoulou
Sophia Jex-Blake
Sophie Bryant
Sophie Germain
Sophie Wilson
Stefanie Dimmeler
Stella Atkins
Stella Cunliffe
Stella Ross-Craig
Stephanie Kwolek
Stephanie Schwabe
Stormy Peters
Sue Black (computer scientist)
Sue Hartley
Sue Hendrickson
Sue Whitesides
Sulamith Goldhaber
Susan Blackmore
Susan Dumais
Susan Gerhart
|Susan Greenfield, Baroness Greenfield|
Susan Hockfield
Susan Hough
Susan Howson
Susan Jane Cunningham
Susan Kieffer
Susan L. Graham
Susan Landau
Susan Owicki
Susan R. Wessler
Susan Solomon
Susana López Charreton
Susanne Albers
Suzanne Cory
Sylvia Earle
Sylvia Fedoruk
Tamara Mkheidze
Tandy Warnow
Tanya Atwater
Tapputi
Tasneem Zehra Husain
Tatyana Afanasyeva
Tatyana Pavlovna Ehrenfest
Telle Whitney
Temple Grandin
Teresa Maryańska
Terri Attwood
Theano (philosopher)
Thelma Estrin
Theodora Lisle Prankerd
Tomoko Ohta
Toniann Pitassi
Tracy Caldwell Dyson
The Trimates
Trotula
Tu Youyou
Ursula Cowgill
Ursula Franklin
Ursula Martin
Uta Frith
Val Beral
Valerie Thomas
Vasanti N. Bhat-Nayak
Vera Kublanovskaya
Vera Popova
Vera Rubin
Vera Scarth-Johnson
Vera Yurasova
Vi Hart
Virginia Apgar
Vyda Ragulskienė
Wanda Orlikowski
Wanda Zabłocka
Wang Xiaoyun
Webe Kadima
Weizmann Women & Science Award
Wendy Foden
Wendy Hall
Wilhelmina Feemster Jashemski
Williamina Fleming
Wilma Olson
Winifred Asprey
Women in chemistry
Women in computing
Women in geology
Women in science
Xia Li
Xie Xide
Yu-Chie Chen
Yvette Cauchois
Yvonne Barr
Yvonne Choquet-Bruhat
Zeng Fanyi
Zoia Ceaușescu
Zora Neale Hurston
Ben Barres
List of women geologists
ISBN
0-933951-01-9
|Howard S. The Hidden Giants, ch. 2, (Lulu.com; 2006)|
ISBN
1-56639-719-7
ISBN
0-262-15031-X
Contributions of 20th Century Women to Physics
|Walsh JJ. 'Medieval Women Physicians' in Old Time Makers of Medicine: The Story of the Students and Teachers of the Sciences Related to Medicine During the Middle Ages, ch. 8, (Fordham University Press; 1911)|
