Relativistic similarity parameter
Remote plasma-enhanced CVD
Resistive ballooning mode
Resolved sideband cooling
Resonant magnetic perturbations
Resonator mode
Reversed field pinch
Richtmyer–Meshkov instability
Riggatron
Ring current
Rocket engine nozzle
Runaway breakdown
Rydberg atom
Rydberg matter
Safety factor (plasma physics)
Saha ionization equation
Sceptre (fusion reactor)
Scramjet
Screened Poisson equation
SEAgel
Safe Emulsion Agar gel
Selected-ion flow-tube mass spectrometry
Self-focusing
Sensitive high-resolution ion microprobe
Shielding gas
Shiva laser
Shiva Star
Shock diamond
[4]
Shocks and discontinuities (magnetohydrodynamics)
Shock wave
Oblique shock
Skin effect
Skip zone
Sky brightness
Skywave
Slapper detonator
Small Tight Aspect Ratio Tokamak
Solar cycle
Cosmic ray
Solar flare
Solar Orbiter
Solar prominence
Solar transition region
Solar wind
Solenoid
Solution precursor plasma spray
Sonoluminescence
South Atlantic Anomaly
Southern Hemisphere Auroral Radar Experiment
Space physics
Spacequake
Space Shuttle
Space Shuttle thermal protection system
Space tether missions
Spark-gap transmitter
Spark plasma sintering
Spaser
Spectral imaging
Spectral line
Spherical tokamak
Spheromak
Spinplasmonics
Spontaneous emission
Spreeta
Sprite (lightning)
Sputter cleaning
Sputter deposition
Sputtering
SSIES
SST-1 (tokamak)
Star
Star lifting
State of matter
Static forces and virtual-particle exchange
Stellarator
Stellar-wind bubble
St. Elmo's fire
Strahl (astronomy)
Strangeness production
Strontium vapor laser
Structure formation
Sudden ionospheric disturbance
Sun
SUNIST
Superlens
Supernova
Supernova remnants
Sura Ionospheric Heating Facility
Surface-wave-sustained mode
Surface enhanced Raman spectroscopy
Surface plasmon
Surface plasmon polaritons
Surface plasmon resonance
Suspension plasma spray
Synchrotron light source
Taylor state
Teller–Ulam design
Tesla coil
Test particle
Thermal barrier coating
Thermalisation
Thermionic converter
Thermodynamic temperature
Thomson scattering
Thunder
Tokamak
Tokamak à configuration variable
Tokamak Fusion Test Reactor
Toroidal ring model
Townsend discharge
Townsend (unit)
Transformation optics
Transmission medium
Trisops
Tunable diode laser absorption spectroscopy
Tweeter
Two-dimensional guiding-center plasma
Two-dimensional point vortex gas
Two-stream instability
U-HID
Ultrapure water
UMIST linear system
Undulator
Upper hybrid oscillation
Upper-atmospheric lightning
Vacuum arc
Van Allen radiation belt
Vapor–liquid–solid method
Variable Specific Impulse Magnetoplasma Rocket
Vector inversion generator
Versatile Toroidal Facility
Violet wand
Virial theorem
Vlasov equation
Volatilisation
VORPAL
Versatile Object-oriented Relativistic Plasma Analysis with Lasers
Voyager program
Warm dense matter
Wave equation
Waves in plasmas
Wave turbulence
Weibel instability
Wendelstein 7-X
Wiggler (synchrotron)
WIND (spacecraft)
Wingless Electromagnetic Air Vehicle
Wireless energy transfer
Wouthuysen-Field coupling
XANES
Xenon arc lamp
X-ray transient
X-ray astronomy
X-shaped radio galaxy
Zakharov system
[5]
Zero-point energy
ZETA (fusion reactor)
Zonal and poloidal
Zonal flow (plasma)
Z Pulsed Power Facility
Hohlraum
